,event_id,source_type,station_network_code,station_channel_code,station_code,station_location_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_name,trace_sampling_rate_hz,trace_start_time,trace_S_arrival_sample,trace_P_arrival_sample,trace_S_onset,trace_P_onset,trace_snr_db,trace_s_arrival,trace_p_arrival
109, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T15:54:57.200000Z, , , , , ,,
110, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T13:43:57.200000Z, , , , , ,,
111, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T12:39:57.200000Z, , , , , ,,
112, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T12:13:57.200000Z, , , , , ,,
113, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T11:47:57.200000Z, , , , , ,,
114, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T09:37:57.200000Z, , , , , ,,
115, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T09:09:57.200000Z, , , , , ,,
116, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T09:07:57.200000Z, , , , , ,,
117, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T08:36:57.200000Z, , , , , ,,
118, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T07:22:57.200000Z, , , , , ,,
119, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T06:05:57.200000Z, , , , , ,,
120, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-25T00:02:57.200000Z, , , , , ,,
121, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T22:05:57.200000Z, , , , , ,,
122, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T21:17:57.200000Z, , , , , ,,
123, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T20:06:57.200000Z, , , , , ,,
124, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T17:58:57.200000Z, , , , , ,,
125, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T17:25:57.200000Z, , , , , ,,
126, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T16:45:57.200000Z, , , , , ,,
127, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T15:35:57.200000Z, , , , , ,,
128, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T14:39:57.200000Z, , , , , ,,
129, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T12:42:57.200000Z, , , , , ,,
130, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T10:59:57.200000Z, , , , , ,,
131, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T10:34:57.200000Z, , , , , ,,
132, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T09:00:57.200000Z, , , , , ,,
133, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T08:39:57.200000Z, , , , , ,,
134, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T08:19:57.200000Z, , , , , ,,
135, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T05:01:57.200000Z, , , , , ,2023-12-24T05:02:10.100000Z,
136, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T02:42:57.200000Z, , , , , ,,
137, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T00:28:57.200000Z, , , , , ,,
138, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-24T00:01:57.200000Z, , , , , ,,
139, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T22:40:57.200000Z, , , , , ,,
140, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T17:44:57.200000Z, , , , , ,,
141, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T14:05:57.200000Z, , , , , ,,
142, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T13:09:57.200000Z, , , , , ,,
143, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T11:13:57.200000Z, , , , , ,,
144, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T08:28:57.200000Z, , , , , ,,
145, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T05:25:57.200000Z, , , , , ,2023-12-23T05:26:50.130000Z,2023-12-23T05:26:31.880000Z
146, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T03:29:57.200000Z, , , , , ,,
147, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T03:19:57.200000Z, , , , , ,,
148, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T02:30:57.200000Z, , , , , ,,
149, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T01:50:57.200000Z, , , , , ,,
150, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T01:35:57.200000Z, , , , , ,,
151, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-23T00:34:57.200000Z, , , , , ,,
152, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T22:41:57.200000Z, , , , , ,,
153, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T18:28:57.200000Z, , , , , ,,
154, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T16:54:57.200000Z, , , , , ,,
155, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T15:11:57.200000Z, , , , , ,,
156, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T10:22:57.200000Z, , , , , ,,
157, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T09:40:57.200000Z, , , , , ,,
158, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T09:00:57.200000Z, , , , , ,,
159, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T06:28:57.200000Z, , , , , ,2023-12-22T06:29:29.940002Z,
160, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T03:43:57.200000Z, , , , , ,,
161, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T03:30:57.200000Z, , , , , ,,
162, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T03:13:57.200000Z, , , , , ,,
163, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T03:06:57.200000Z, , , , , ,,
164, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T01:53:57.200000Z, , , , , ,,
165, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-22T01:48:57.200000Z, , , , , ,,
166, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T23:51:57.200000Z, , , , , ,,
167, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T22:13:57.200000Z, , , , , ,,2023-12-21T22:14:39.139999Z
168, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T19:46:57.200000Z, , , , , ,,
169, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T17:40:57.200000Z, , , , , ,,
170, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T17:21:57.200000Z, , , , , ,,
171, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T16:14:57.200000Z, , , , , ,,
172, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T13:05:57.200000Z, , , , , ,,
173, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T12:08:57.200000Z, , , , , ,,
174, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T09:48:57.200000Z, , , , , ,,
175, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T07:56:57.200000Z, , , , , ,,
176, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T07:35:57.200000Z, , , , , ,,
177, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T06:22:57.200000Z, , , , , ,,
178, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T04:50:57.200000Z, , , , , ,,
179, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T03:42:57.200000Z, , , , , ,,
180, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T02:15:57.200000Z, , , , , ,,
181, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-21T01:27:57.200000Z, , , , , ,,
182, , ,CIDAS, ,das40, ,59.3598489765,-152.114442925,-61.9195460224, ,25,2023-12-20T22:30:57.200000Z, , , , , ,,
